KOMENTAR
The audacity ngomongin anak sendiri di postingan tentang genosida yang isinya pembunuhan anak-anak. Seneng ya bukan orang Palestina makanya masih bisa ngetweet kayak gini dan gak perlu khawatir karena kemungkinan anak lu mati kayak mereka sangat kecil? https://t.co/ftpTwEv1ud
Dulu bilang Prabowo pemuja Hitler skrg mencitrakan Anies sbg Hitler. Apa sih dosa Anies sampe disamain sama Hitler pernah melalukan genosida? Cuma saling serang di sosmed dibilang tirani. Emang ada yg dipenjara diilaporin ke polisi aja ga. 02 tuh yg tukang lapor. Akun resmi https://t.co/I7Kt7Ckd72
Genosida https://t.co/0DmP0p9cBn
Anak SMP bercandain korban genosida? https://t.co/ElTdvWcI3g
ATINY Kalo kemarin masih abu-abu soal boikot remix dari 'Work' dengan statement sampah ini kita FIX BOIKOT remix tersebut. Ingat apa yang terjadi di Palestine itu BUKAN PERANG itu GENOSIDA! #KQDivestFromZionism #goldenhourforpalestine @kqent https://t.co/LmBRX3gRAK
Genosida yang dilakukan Israel kepada Palestina hanya bisa dihentikan dengan perlawanan militer atau aksi boikot masyarakat internasional. https://t.co/88PVQtSLMr
Rudal yang dijatuhkan di pengungsian #Gaza mengungkapkan Keterlibatan India dalam Perang Genosida @narendramodi https://t.co/8ewYt9pJOp
2016 disamain sama genosida https://t.co/NwoRwpWNKd
Aktivis di Wina Austria membagikan makanan Palestina gratis diluar restoran McDonald utk meningkatkan kesadaran publik tentang pemboikotan McD karena pendanaannya terhadap genosida zionis di Gaza ğ??µğ??¸ Mesin Cuci AzizahArhan Ngurangin McDonald Robby Purba Hot Mess Polwan Pati. https://t.co/3Xymb1gcHy
kata gue yang pantesnya dispill tuh bukan identitas asli bocahnya tapi orangtuanya sama gembala jemaat di gereja mereka. orangtua sama pemuka agama sangat bertanggung jawab atas apa yang mereka pahami tentang genosida di Palestina.
Tenggelamkan Partai Perindo pendukung genosida warga Palestin tenggelamkan parati sialan ini https://t.co/sHFoBmyej2
Mahkamah Pidana Internasional aja udah bilang ini sdh ada preliminary evidence mengarah ke genosida masa harus pake agree to disagree lagi? https://t.co/zOec75XH1J
Netanyahu bilang pembakaran hidup-hidup para pengungsi Rafah merupakan kesalahan tragis. Doi nggak sadar kalo keberadaan dirinya dan antek-antek pelaku genosida lainnya merupakan kesalahan terbesar komunitas internasional. CEASEFIRE NOW! ALL EYES ON RAFAH. https://t.co/cABPJcTn55
 IKUTI AKSI AKBAR BELA PALESTINA HENTIKAN GENOSIDA MUSLIM PALESTINA ï¸ Hari Sabtu 8 Juni 2024 â° Pukul 07:30 sd 11:00 WIB Titik Kumpul Patung Kuda Monas Longmarch ke Kedubes AS. JANGAN DIAM SEPERTI TEMBOK PERBATASAN https://t.co/ZPPyynvtMg
(1) Siapakah Bashir Biazar yang ditangkap dn dipenjarakan oleh polisi Prancis? Faktanya adlh bahwa Bashir Biazar adalah seorang produser musik dan seniman Iran yang tinggal di Paris. #bashirbiazar #seniman #iran #paris #prancis #polisi #penjara #palestina #israel #genosida #pbb https://t.co/2tRCtESMiS
Genosida yg terjadi di Palestina menimbulkan keprihatinan seluruh masyarakat dunia. Solidaritas dan protes mengutuk Israel dan Amerika terus bergema di berbagai belahan dunia dengan harapan perang yg sudah berlangsung puluhan tahun tersebut dapat segera dihentikan. https://t.co/rHEmB42yCG
Ohara di Wanpis pernah terjadi di Indonesia. Mereka rela menyelamatkan buku agar tidak diberangus oleh rezim. Soeharto tidak hanya membantai orang2 PKI dan yg terafiliasi tp jg membantai kaum2 intelektual. Berkas Genosida - Jess Melvin https://t.co/8kHeiWAf3Q
Prancis mendeportasi Syekh Abdur-Rahman Radwan ke Nigeria karena kritiknya terhadap Genosida rezim Zionis di Jalur Gaza dan kemunafikan Barat. Semoga Tuhan Memberkati Anda https://t.co/PNXzJxqfUh
Seruan Hizbut tahrir dari mihrab Al Aqsho kepada seluruh tentara kaum muslimin sdh dilakukan dari awal zionis melakukan genosida akan tetapi seruan itu ga pernah di gubris oleh para penguasa negri2 muslim hingga saat ini keadaan kaum muslimin palestina smakin memburuk...... https://t.co/JcBKufISHS
Bendera Palestina raksasa membentang di Bandung ğ??µğ??¸ Bahwa euforia perayaan tak hanya sebatas luapan kebahagiaan di sisi lain untuk menyadarkan kita semua akan genosida yang kini terjadi di Palestina. All Eyes On Rafah https://t.co/V6bORqU8Ht
Organisasi Kesehatan dunia atau WHO menyampaikan kondisi wargaÂ Palestina akibat genosida Israel di Gaza membuat masyarakat gaza mengonsumsi pakan ternak. Hal itu disampaikan oleh Direktur Regional Mediterania Timur di WHO HananÂ Balkhy. Ada orang yang kini memakan makanan https://t.co/c65ktzDJ2T
Cukuplah Allah bagi kita dan Dialah se-baikÂ² pengatur urusan terhadap setiap penindas dan setiap orang yang bersekongkol melawan Gaza dan rakyatnya anakÂ² wanita dan orang tua yang memenjarakan mereka dan merampas segala kebutuhan hidup mereka? dan genosida rakyat Gaza https://t.co/31JZFVBX7A
(2) Siapakah Bashir Biazar yang ditangkap dn dipenjarakan oleh polisi Prancis? Faktanya adlh bahwa Bashir Biazar adalah seorang produser musik dan seniman Iran yang tinggal di Paris. #bashirbiazar #seniman #iran #paris #prancis #polisi #penjara #palestina #israel #genosida #pbb https://t.co/oR1Ac3ybL5
Manchester Bank Barclays setelah penyerbuan aktivis yang menuntut diakhirinya sponsor genosida di #Gaza Raksasa perbankan Inggris Barclays menyediakan investasi dan pinjaman miliaran poundsterling kepada perusahaan senjata yang menjual senjata dan teknologi militer ke Israel. https://t.co/UNYL7TyutF
Tw // genosida kalau kalian ingin bantu melawan genosida dengan boikot tapi merasa keberatan karena enak banget makanannya atau capek ah boikot semua Cara paling gampang adalah mulai support umkm lokal. Pelan-pelan aja bertahap https://t.co/0fDilCMi6m
good job wots yang udah suarain #AllEyesonRafah dan berusaha enggan datang ke acara n*vea meskipun ada membre jekeyti terus suarakan untuk Palestina wots! no room for pelaku genosida dan para pendukung genosida dan jyo-ni-zst ğ??µğ??¸ https://t.co/MCntn6BlVt
 Kami semua adalah orang Yahudi. Kami tidak ingin genosida â?¶ï¸ Pengunjuk rasa pro-Palestina di New York menghadapi seorang wanita sebelum dia menyerang mereka karena mendukung Palestina. ï¸ğ??µğ??¸ https://t.co/njdAbEjWky
India juga terlibat dalam genosida di Gaza. Rudal yang jatuh di Gaza itu jelas-jelas diberi label Made in India . #FreePalestine https://t.co/SDX5CHoUXF
Are you stay with palestine??!! #gaza #rafah #palestina #genosida #palestineğ??µğ??¸ #freepalestine #aksibelapalestina #westandwithpalestine ğ??®ğ??© https://t.co/az0OQbg1fM
I really hate this world People are just so selfish bayangin kalo semua tuh bisa kompak sama gerakan orang-orang Palestina mungkin genosida ga bakal terjadi. Kalian terlalu menyombongkan aktivisme diri sendiri sampai gamau dengerin yang sedang di hajar dan di bungkam habis2an
Sakit bgt nih ZARA gila mereka menggunakan kondisi Genosida di Palestina sebagai campaign koleksi terbaru mereka Peti mati mayat kematian debu reruntuhan kerusakan very insenstive &amp; PURE EVIL. DISGUSTING #BOYCOTTZARA NOW. Jangan. Pernah. Beli. Apapun. Dari. Zara. Lagi. https://t.co/xBsmXDqv4g
Emak-emak Inggris dengan berani mendatangi supermarket besar lalu menempelkan stiker boikot di produk asal Israel dan produk dari perusahaan yang mendukung penjajahan dan genosida Israel atas Palestina. Kalau di Konoha pasti emak-emak ini sudah ada yang nyinyirin... https://t.co/tPEgTu6Kjq
 | Anak itu mati syahid ketika makanan masih ada di mulutnya Semoga Allah melaknat semua orang yang menolak memboikot lembaga-lembaga dan kepentingan-kepentingan yang mendanai dan mengobarkan genosida ini terkutuklah para pengkhianat itu sampai hari kiamat. https://t.co/DFXOtLzs0i
Siang terang para punggawa menyalak marah bgmn tdk? Melihat kebiadaban zionis membantai masyarakat Palestina. Perang? Bukan itu genosida! Hentikan genosida trhdp Palestina sekarang! Mari yang belum kita okupasi ruang publik Taman Cikapayang. Viva Le Palestine Libre https://t.co/t3VyxQ6vql
Hentikan genosida terhadap Palestina. #khilafahsavespalestine #AlleyesonRafah https://t.co/NBwBHyysf9
Kabar Selasa : Ketika Aymeric Caron Anggota Parlemen mengkritik PM Perancis yg Lepas tangan dan cuma Omong Doank Tanpa Aksi Nyata hadapi genosida Israel atas Rakyat Gaza Palestina https://t.co/oedWd3FEwk
Netijen Indonesia itu terkenal keseluruh dunia sebagai netijen yg hobby ngetroll alias komen julid kepada akun2 tertentu jika ada sebuah isu. Nah apalagi ini isu kemanusiaan penjajahan kejahatan perang genosida dll maka sdh selayaknya netijen Indonesia kompak menyerang https://t.co/TPiVFsUIfA
Sebuah demonstrasi besar-besaran sedang berlangsung di Manchester menunjukkan solidaritas terhadap Palestina dan mengutuk pendudukan Israel dan genosida di Gaza. Para peserta juga menuntut diakhirinya ekspor senjata ke Israel yang digunakan untuk melawan warga sipil Palestina. https://t.co/fSdz8gkWrR
ğ??µğ??¸ Aktivis pro-Palestina di Wina Austriağ??¦ğ??¹ membagikan makanan Palestina secara gratis kepada orang-orang di depan McDonald's untuk meningkatkan kesadaran masyarakat tentang seruan memboikot McDonald's karena mendanai genosida Zionist di Gaza. #GazaGenocideâ?? #FreePalestine https://t.co/CkUsA6mL7O
